month,api_client_title,shipping_city,shipping_region,shipping_country,customer_type,product_title,product_type,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,total_tips,average_order_value
2021-03,Online Store,Salem,Oregon,United States,First-time,Black Truffle,,2,89.9,0,0,89.9,0,0,89.9,0,44.95
2021-03,Online Store,Bellaire,Texas,United States,First-time,,,0,0,0,0,0,5.38,0,5.38,0,0
2021-03,Online Store,San Antonio,Texas,United States,First-time,Gourmet Keto Mild Original,,1,19.98,0,0,19.98,0,0,19.98,0,19.98
2021-03,Online Store,Garden City,Michigan,United States,First-time,Black Truffle,,1,26.97,-5.65,0,21.32,0,0,21.32,0,21.32
2021-03,Online Store,Melbourne,Florida,United States,First-time,,,0,0,0,-4.5,-4.5,3.85,0,-0.65,0,0
2021-03,Online Store,Knoxville,Tennessee,United States,First-time,,,0,0,0,0,0,37.49,0,37.49,0,0
2021-03,Online Store,Ramona,California,United States,First-time,Traditional Japanese Teriyaki,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Santa Clara,California,United States,First-time,Gourmet Keto Spicy Original,,1,9.99,0,0,9.99,0,0,9.99,0,9.99
2021-03,Online Store,Mandan,North Dakota,United States,First-time,,,0,0,0,0,0,3.85,0,3.85,0,0
2021-03,Online Store,Mechanicsburg,Pennsylvania,United States,First-time,Sweet Heat,,1,35.96,-7.54,0,28.42,0,1.71,30.13,0,30.13
2021-03,Online Store,Selbyville,Delaware,United States,First-time,Traditional Japanese Teriyaki,,1,17.98,0,0,17.98,0,0,17.98,0,17.98
2021-03,Online Store,Fort Kent,Maine,United States,First-time,Traditional Japanese Teriyaki,,1,8.99,0,0,8.99,0,0,8.99,0,8.99
